,Name,Symbol,NSE symbol,URL
BALAMINES,Balaji Amines,BA05,BALAMINES,/india/stockpricequote/chemicals/balajiamines/BA05
BALKRISIND,Balkrishna Ind,BI03,BALKRISIND,/india/stockpricequote/tyres/balkrishnaindustries/BI03
BALMLAWRIE,Balmer Lawrie,BLC,BALMLAWRIE,/india/stockpricequote/diversified/balmerlawriecompany/BLC
BALRAMCHIN,Balrampur Chini,BCM,BALRAMCHIN,/india/stockpricequote/sugar/balrampurchinimills/BCM
BANDHANBNK,Bandhan Bank,BB09,BANDHANBNK,/india/stockpricequote/banksprivatesector/bandhanbank/BB09
BANKBARODA,Bank of Baroda,BOB,BANKBARODA,/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
BANKINDIA,Bank of India,BOI,BANKINDIA,/india/stockpricequote/bankspublicsector/bankofindia/BOI
MAHABANK,Bank of Mah,BM05,MAHABANK,/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05
BASF,BASF,BAS,BASF,/india/stockpricequote/chemicals/basfindia/BAS
BATAINDIA,Bata India,BI01,BATAINDIA,/india/stockpricequote/leatherproducts/bataindia/BI01
BERGEPAINT,Berger Paints,BPI02,BERGEPAINT,/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
BDL,Bharat Dynamics,BDL01,BDL,/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01
BEL,Bharat Elec,BE03,BEL,/india/stockpricequote/electricals/bharatelectronics/BE03
BHARATRAS,Bharat Rasayan,BR01,BHARATRAS,/india/stockpricequote/pesticidesagrochemicals/bharatrasayan/BR01
BHEL,BHEL,BHE,BHEL,/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
BIOCON,Biocon,BL03,BIOCON,/india/stockpricequote/pharmaceuticals/biocon/BL03
BIRLACORPN,Birla Corp,BC07,BIRLACORPN,/india/stockpricequote/cementmajor/birlacorporation/BC07
BLUEDART,Blue Dart,BDE,BLUEDART,/india/stockpricequote/couriers/bluedartexpress/BDE
BLUESTARCO,Blue Star,BS,BLUESTARCO,/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
BBTC,Bombay Burmah,BBT,BBTC,/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
BPCL,BPCL,BPC,BPCL,/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BRIGADE,Brigade Ent,BE08,BRIGADE,/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
BRITANNIA,Britannia,BI,BRITANNIA,/india/stockpricequote/foodprocessing/britanniaindustries/BI
CADILAHC,Cadila Health,CHC,CADILAHC,/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
CANFINHOME,Can Fin Homes,CFH,CANFINHOME,/india/stockpricequote/financehousing/canfinhomes/CFH
CANBK,Canara Bank,CB06,CANBK,/india/stockpricequote/bankspublicsector/canarabank/CB06
CAPLIPOINT,Caplin Labs,CPL,CAPLIPOINT,/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
M&MFIN-RE,Capri Global,MMF05,M&MFIN-RE,/india/stockpricequote/financegeneral/capriglobalcapital/MMF05
CARBORUNIV,Carborundum,CU,CARBORUNIV,/india/stockpricequote/abrasives/carborundumuniversal/CU
CASTROLIND,Castrol,CI01,CASTROLIND,/india/stockpricequote/lubricants/castrolindia/CI01
CCL,CCL Products,CC10,CCL,/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
CDSL,CDSL,CDS,CDSL,/india/stockpricequote///CDS
CEATLTD,Ceat,C07,CEATLTD,/india/stockpricequote/tyres/ceat/C07
CENTRALBK,Central Bank,CBO01,CENTRALBK,/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
CENTURYTEX,Century,CTI,CENTURYTEX,/india/stockpricequote/diversified/centurytextilesindustries/CTI
CENTURYPLY,CenturyPlyboard,CP9,CENTURYPLY,/india/stockpricequote/miscellaneous/centuryplyboards/CP9
CHEMPLASTS,Cera Sanitary,CS18,CHEMPLASTS,/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
CESC,CESC,CES,CESC,/india/stockpricequote/powergenerationdistribution/cesc/CES
CROMPTON,CG Consumer,CGC01,CROMPTON,/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CHALET,Chalet Hotels,CH03,CHALET,/india/stockpricequote/hotels/chalethotels/CH03
CHAMBLFERT,Chambal Fert,CFC,CHAMBLFERT,/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
CHOLAHLDNG,Chola Fin Hold,TII,CHOLAHLDNG,/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII
CIPLA,Cipla,C,CIPLA,/india/stockpricequote/pharmaceuticals/cipla/C
CUB,City Union Bank,CUB,CUB,/india/stockpricequote/banksprivatesector/cityunionbank/CUB
COFORGE,COFORGE LTD.,NII02,COFORGE,/india/stockpricequote/computerssoftware/coforgelimited/NII02
COLPAL,Colgate,CPI,COLPAL,/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
CONCOR,Container Corp,CCI,CONCOR,/india/stockpricequote/transportlogistics/containercorporationindia/CCI
CADSYS,Coromandel Int,CI45,CADSYS,/india/stockpricequote/fertilisers/coromandelinternational/CI45
CRISIL,CRISIL,CRI,CRISIL,/india/stockpricequote/miscellaneous/crisil/CRI
CUMMINSIND,Cummins,CI02,CUMMINSIND,/india/stockpricequote/engines/cumminsindia/CI02
CYIENT,Cyient,IE07,CYIENT,/india/stockpricequote/computerssoftware/cyient/IE07
DABUR,Dabur India,DI,DABUR,/india/stockpricequote/personalcare/daburindia/DI
DALBHARAT,Dalmia Bharat,OCL,DALBHARAT,/india/stockpricequote/cementmajor/dalmiabharat/OCL
DCBBANK,DCB Bank,DCB01,DCBBANK,/india/stockpricequote/banksprivatesector/dcbbank/DCB01
DCMSHRIRAM,DCM Shriram,DCM02,DCMSHRIRAM,/india/stockpricequote/diversified/dcmshriram/DCM02
DEEPAKNTR,Deepak Nitrite,DN,DEEPAKNTR,/india/stockpricequote/chemicals/deepaknitrite/DN
DISHTV,Dish TV,DTV,DISHTV,/india/stockpricequote/mediaentertainment/dishtvindia/DTV
DCAL,Dishman Carboge,DCA,DCAL,/india/stockpricequote/miscellaneous/dishmancarbogenamcis/DCA
DIVISLAB,Divis Labs,DL03,DIVISLAB,/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
DIXON,Dixon Technolog,DT07,DIXON,/india/stockpricequote/electricals/dixontechnologies/DT07
DLF,DLF,D04,DLF,/india/stockpricequote/constructioncontractingrealestate/dlf/D04
LALPATHLAB,Dr Lal PathLab,DLP01,LALPATHLAB,/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
